hcpcs,modifiers,program,unit,unit_minutes,rate,version,source
T2003,UC,Transportation,One Way Trip,,20.21,2022-01,DHS-3945_PCA_rates_2022-01.pdf p46
H2015,,"Community Living Assistance, In Person/Remote",15 Minutes,15,4.55,2022-01,DHS-3945_PCA_rates_2022-01.pdf p47
H2016,,"Community Living Assistance, Remote",Daily,,6.06,2022-01,DHS-3945_PCA_rates_2022-01.pdf p47
S9129,,Occupational Therapy,Visit,,79.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p49
S9129,TF,Occupational Therapy Assistant,Visit,,51.35,2022-01,DHS-3945_PCA_rates_2022-01.pdf p49
T1019,U5,"Personal Care Assistance (PCA), 1:1, Notice of",15 Minutes,15,4.9,2022-01,DHS-3945_PCA_rates_2022-01.pdf p49
T1019,U6,"Personal Care Assistance (PCA), 1:1, Temporary 45 Day",15 Minutes,15,4.9,2022-01,DHS-3945_PCA_rates_2022-01.pdf p49
T1019,TT U5,"Personal Care Assistance (PCA), 1:2, Notice of",15 Minutes,15,3.68,2022-01,DHS-3945_PCA_rates_2022-01.pdf p49
T1019,TT U6,"Personal Care Assistance (PCA), 1:2, Temporary 45 Day",15 Minutes,15,3.68,2022-01,DHS-3945_PCA_rates_2022-01.pdf p49
T1019,HQ U5,"Personal Care Assistance (PCA), 1:3, Notice of",15 Minutes,15,3.23,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1019,HQ U6,"Personal Care Assistance (PCA), 1:3, Temporary 45 Day",15 Minutes,15,3.23,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1019,TG U5,"Personal Care Assistance (PCA), Complex, 1:1, Notice of",15 Minutes,15,5.27,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1019,TG U6,"Personal Care Assistance (PCA), Complex, 1:1,",15 Minutes,15,5.27,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1019,TG TT U5,"Personal Care Assistance (PCA), Complex, 1:2, Notice of",15 Minutes,15,3.96,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1019,TG TT U6,"Personal Care Assistance (PCA), Complex, 1:2,",15 Minutes,15,3.96,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1019,HQ TG U5,"Personal Care Assistance (PCA), Complex, 1:3, Notice of",15 Minutes,15,3.47,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1019,HQ TG U6,"Personal Care Assistance (PCA), Complex, 1:3,",15 Minutes,15,3.47,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1001,,PHN Face to Face Assessment for PCA,Visit,,276.65,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1001,TS,PHN Service Update for PCA,Visit,,138.32,2022-01,DHS-3945_PCA_rates_2022-01.pdf p50
T1001,U6,PHN Temporary Service Increase for PCA,Visit,,138.32,2022-01,DHS-3945_PCA_rates_2022-01.pdf p51
S9131,,Physical Therapy,Visit,,77.43,2022-01,DHS-3945_PCA_rates_2022-01.pdf p51
S9131,TF,Physical Therapy Assistant,Visit,,50.33,2022-01,DHS-3945_PCA_rates_2022-01.pdf p51
S5181,,Respiratory Therapy,Visit,,49.74,2022-01,DHS-3945_PCA_rates_2022-01.pdf p51
S9128,,Speech Therapy,Visit,,78.6,2022-01,DHS-3945_PCA_rates_2022-01.pdf p51
H2015,U8 TS,Housing Sustaining,15 Minutes,15,17.17,2022-01,DHS-3945_PCA_rates_2022-01.pdf p52
H2015,U8,Housing Transition,15 Minutes,15,17.17,2022-01,DHS-3945_PCA_rates_2022-01.pdf p52
T1016,U6,"Case Management, Demonstration",15 Minutes,15,24.47,2022-01,DHS-3945_PCA_rates_2022-01.pdf p53
A0180,U6,"Cost for Finding Housing/Employment, Ancillary Actual Cost-",Daily,,125.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p53
A0160,U6,"Cost for Finding Housing/Employment, Case Worker",Per Mile,,0.56,2022-01,DHS-3945_PCA_rates_2022-01.pdf p53
A0200,U6,"Cost for Finding Housing/Employment, Escort Lodging Actual Cost-",Daily,,125.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p53
A0210,U6,"Cost for Finding Housing/Employment, Escort Meals Actual Cost-",Daily,,37.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p53
A0170,U6,"Cost for Finding Housing/Employment, Parking Fees and Actual Cost-",Daily,,20.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p53
A0190,U6,"Cost for Finding Housing/Employment, Recipient Meals Actual Cost-",Daily,,37.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p53
S5160,U6,PERS Installation and Testing,Each Time,,500.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p53
S5161,U6,PERS Monthly Service Fee,Per Month,,110.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p54
S5162,U6,PERS Purchase,Each Time,,1500.0,2022-01,DHS-3945_PCA_rates_2022-01.pdf p54
S5150,U6,"Respite Care Services, In Home",15 Minutes,15,5.47,2022-01,DHS-3945_PCA_rates_2022-01.pdf p54
S5150,U6 UB,"Respite Care Services, Out of Home",15 Minutes,15,5.47,2022-01,DHS-3945_PCA_rates_2022-01.pdf p54
T1017,U6,Transition Coordination,15 Minutes,15,16.63,2022-01,DHS-3945_PCA_rates_2022-01.pdf p54
97151,UB,EIDBI Comprehensive Multi-Disciplinary Evaluation (QSP),15 Minutes,15,94.8,2026-01,MN_EIDBI_billing_grid_2026-01.pdf p2
97151,,EIDBI CMDE by CMDE provider (SPA MN-24-0010),15 Minutes,15,50.112,2024-01,MN-24-0010_EIDBI_SPA.pdf p4
97153,,EIDBI intervention (SPA MN-24-0010),15 Minutes,15,20.178,2024-01,MN-24-0010_EIDBI_SPA.pdf p4
0373T,,EIDBI intervention with two providers (SPA MN-24-0010),15 Minutes,15,24.192,2024-01,MN-24-0010_EIDBI_SPA.pdf p4
97154,,EIDBI group intervention (SPA MN-24-0010),15 Minutes,15,6.72,2024-01,MN-24-0010_EIDBI_SPA.pdf p4
97155,,EIDBI observation and direction (SPA MN-24-0010),15 Minutes,15,20.178,2024-01,MN-24-0010_EIDBI_SPA.pdf p4
97156,,EIDBI family/caregiver training (SPA MN-24-0010),15 Minutes,15,20.178,2024-01,MN-24-0010_EIDBI_SPA.pdf p4
97157,,EIDBI group family/caregiver training (SPA MN-24-0010),15 Minutes,15,6.72,2024-01,MN-24-0010_EIDBI_SPA.pdf p4
T1024,,EIDBI coordinated care conference per provider per session (SPA MN-24-0010),Session,,112.678,2024-01,MN-24-0010_EIDBI_SPA.pdf p4
H2011,,Crisis intervention (MH procedure grid),15 Minutes,15,40.58,2026-playbook,build playbook (MN DHS MH procedure grid 2026 / HSS manual)
H2014,,Skills training and development / CTSS (MH procedure grid),15 Minutes,15,14.25,2026-playbook,build playbook (MN DHS MH procedure grid 2026 / HSS manual)
H2017,,ARMHS psychosocial rehabilitation (MH procedure grid),15 Minutes,15,19.12,2026-playbook,build playbook (MN DHS MH procedure grid 2026 / HSS manual)
96130,,Psychological testing evaluation first hour (MH procedure grid),Hour,60,124.36,2026-playbook,build playbook (MN DHS MH procedure grid 2026 / HSS manual)
96131,,Psychological testing evaluation additional hour (MH procedure grid),Hour,60,85.05,2026-playbook,build playbook (MN DHS MH procedure grid 2026 / HSS manual)
T2024,,Housing Consultation T2024 U8 (HSS manual),Encounter,,174.22,2026-playbook,build playbook (MN DHS MH procedure grid 2026 / HSS manual)
H2015,,Housing Stabilization Services H2015 U8 (HSS manual),15 Minutes,15,17.17,2026-playbook,build playbook (MN DHS MH procedure grid 2026 / HSS manual)
